t	dt	da	x	y	dx	dy	Fx	Fy	Mz
0.01	0.01	-0.04	-0.25	0.000174533	0	0.000174533	1.32548	24.3009	11.2405
0.02	0.01	-0.04	-0.25	0.000349066	1.21847e-07	0.000174533	-5.36868	33.9742	15.029
0.03	0.01	-0.04	-0.25	0.000523599	2.43694e-07	0.000174533	9.11999	11.7186	-7.00966
0.04	0.01	-0.04	-0.249999	0.000698131	3.65541e-07	0.000174533	5.79033	7.77891	-2.15748
0.05	0.01	-0.04	-0.249999	0.000872664	4.87388e-07	0.000174532	-3.34026	9.81314	6.78342
0.06	0.01	-0.04	-0.249998	0.0010472	6.09234e-07	0.000174532	4.33833	25.2335	2.07959
0.07	0.01	-0.04	-0.249997	0.00122173	7.31081e-07	0.000174532	5.61105	31.1424	1.17082
0.08	0.01	-0.04	-0.249997	0.00139626	8.52927e-07	0.000174531	-0.122807	17.8808	3.74441
0.09	0.01	-0.04	-0.249996	0.00157079	9.74772e-07	0.000174531	2.38106	19.3764	1.61263
0.1	0.01	-0.04	-0.249995	0.00174532	1.09662e-06	0.00017453	4.17646	33.7395	1.99414
0.11	0.01	-0.04	-0.249993	0.00191985	1.21846e-06	0.000174529	1.60044	34.7948	4.73828
0.12	0.01	-0.04	-0.249992	0.00209438	1.34031e-06	0.000174528	2.06	29.9165	2.8559
0.13	0.01	-0.04	-0.24999	0.0022689	1.46215e-06	0.000174527	3.07672	34.1243	1.41629
0.14	0.01	-0.04	-0.249989	0.00244343	1.58399e-06	0.000174526	2.22806	40.0455	3.75381
0.15	0.01	-0.04	-0.249987	0.00261796	1.70584e-06	0.000174525	2.21835	41.1337	3.90289
0.16	0.01	-0.04	-0.249985	0.00279248	1.82768e-06	0.000174524	2.54426	42.3877	2.34484
0.17	0.01	-0.04	-0.249983	0.002967	1.94952e-06	0.000174523	2.37544	45.3224	2.90867
0.18	0.01	-0.04	-0.249981	0.00314152	2.07136e-06	0.000174521	2.36325	47.9462	3.57013
0.19	0.01	-0.04	-0.249979	0.00331604	2.1932e-06	0.00017452	2.37566	50.7171	3.07011
0.2	0.01	-0.04	-0.249977	0.00349056	2.31503e-06	0.000174518	2.40289	53.4221	3.0292
0.21	0.01	-0.04	-0.249974	0.00366508	2.43687e-06	0.000174517	2.43135	55.5174	3.31413
0.22	0.01	-0.04	-0.249972	0.00383959	2.55871e-06	0.000174515	2.36699	58.1565	3.21282
0.23	0.01	-0.04	-0.249969	0.00401411	2.68054e-06	0.000174513	2.41311	61.3706	3.20272
0.24	0.01	-0.04	-0.249966	0.00418862	2.80238e-06	0.000174511	2.461	63.99	3.36389
0.25	0.01	-0.04	-0.249963	0.00436313	2.92421e-06	0.000174509	2.41462	66.3805	3.32016
0.26	0.01	-0.04	-0.24996	0.00453763	3.04604e-06	0.000174507	2.43635	69.2972	3.27617
0.27	0.01	-0.04	-0.249957	0.00471214	3.16787e-06	0.000174505	2.48345	72.2642	3.40062
0.28	0.01	-0.04	-0.249954	0.00488664	3.28969e-06	0.000174503	2.47424	74.9561	3.44219
0.29	0.01	-0.04	-0.249951	0.00506114	3.41152e-06	0.000174501	2.48574	77.7296	3.3988
0.3	0.01	-0.04	-0.249947	0.00523564	3.53335e-06	0.000174498	2.52432	80.6384	3.45337
0.31	0.01	-0.04	-0.249943	0.00541014	3.65517e-06	0.000174496	2.53969	83.5088	3.53027
0.32	0.01	-0.04	-0.24994	0.00558463	3.77699e-06	0.000174493	2.55701	86.3861	3.54099
0.33	0.01	-0.04	-0.249936	0.00575912	3.89881e-06	0.000174491	2.59065	89.2975	3.57015
0.34	0.01	-0.04	-0.249932	0.00593361	4.02063e-06	0.000174488	2.61695	92.1974	3.63108
0.35	0.01	-0.04	-0.249928	0.0061081	4.14244e-06	0.000174485	2.6417	95.124	3.66603
0.36	0.01	-0.04	-0.249923	0.00628258	4.26426e-06	0.000174482	2.67393	98.0825	3.69678
