Timesteps  Total_Iterations  Iterations  Convergence  
1  5  5  1  
2  8  3  1  
3  14  6  1  
4  17  3  1  
5  20  3  1  
6  23  3  1  
7  26  3  1  
8  31  5  1  
9  34  3  1  
10  38  4  1  
11  41  3  1  
12  44  3  1  
13  48  4  1  
14  51  3  1  
15  54  3  1  
16  56  2  1  
17  59  3  1  
18  61  2  1  
19  64  3  1  
20  66  2  1  
21  68  2  1  
22  70  2  1  
23  72  2  1  
24  74  2  1  
25  76  2  1  
26  79  3  1  
27  82  3  1  
28  85  3  1  
29  88  3  1  
30  90  2  1  
31  93  3  1  
32  96  3  1  
33  97  1  1  
34  100  3  1  
35  104  4  1  
36  107  3  1  
37  110  3  1  
38  113  3  1  
39  116  3  1  
40  119  3  1  
41  122  3  1  
42  125  3  1  
43  128  3  1  
44  132  4  1  
45  135  3  1  
46  138  3  1  
47  141  3  1  
48  142  1  1  
49  145  3  1  
50  148  3  1  
51  151  3  1  
52  154  3  1  
53  157  3  1  
54  160  3  1  
55  161  1  1  
56  164  3  1  
57  167  3  1  
58  171  4  1  
59  174  3  1  
60  177  3  1  
61  180  3  1  
62  183  3  1  
63  186  3  1  
64  189  3  1  
65  191  2  1  
66  194  3  1  
67  197  3  1  
68  199  2  1  
69  202  3  1  
70  204  2  1  
71  207  3  1  
72  210  3  1  
73  213  3  1  
74  216  3  1  
75  218  2  1  
76  220  2  1  
77  222  2  1  
78  224  2  1  
79  226  2  1  
80  228  2  1  
81  230  2  1  
82  232  2  1  
83  234  2  1  
84  236  2  1  
85  239  3  1  
86  241  2  1  
87  243  2  1  
88  245  2  1  
89  247  2  1  
90  248  1  1  
91  251  3  1  
92  254  3  1  
93  257  3  1  
94  260  3  1  
95  263  3  1  
96  266  3  1  
97  269  3  1  
98  272  3  1  
99  278  6  1  
