Timestep  Iteration  resNorm(0)  resNorm(1)  
1  1  inf  1.0000000000000000  
1  2  1.0000000000000000  0.5000000000000000  
1  3  0.4999999999999991  0.0054170338854972  
1  4  0.0249870872755810  0.0019915039861839  
1  5  0.0000007097364213  0.0000039642164002  
2  1  0.7142855753299578  0.9991925954301216  
2  2  0.2341895709232956  0.0003854185990518  
2  3  0.0014344677698501  0.0002334470485033  
2  4  0.0001288495151867  0.0003195157915694  
3  1  1.0475208161186325  0.5181909986631738  
3  2  0.3701771300747962  0.0143201903502529  
3  3  0.0113378256107864  0.0003609855816690  
3  4  0.0007564946504964  0.0002345493487109  
4  1  0.6912095536009697  0.0492073206500394  
4  2  0.0497096990159396  0.0320838743444486  
4  3  0.0040825505713431  0.0026048591863411  
4  4  0.0008681745364050  0.0004400236227406  
5  1  0.3543440133577798  0.0400170428995154  
5  2  0.0301492444405702  0.0148708149650372  
5  3  0.0027560545108165  0.0015565035485305  
5  4  0.0001309039774923  0.0000617832950715  
6  1  0.1606302001659651  0.0271250353245153  
6  2  0.1056022755855980  0.0094638975708430  
6  3  0.0004771466510836  0.0001418297026842  
7  1  0.0769475741256838  0.0147270332653017  
7  2  0.1653771822155728  0.0066415248626284  
7  3  0.0005265194903678  0.0003647655403892  
8  1  0.0518878355108370  0.0096664467895396  
8  2  0.1599600541048063  0.0031141733399641  
8  3  0.0004070276455014  0.0004873415190462  
9  1  0.0141769558624935  0.0047065414293011  
9  2  0.0451041759156629  0.0034934379745064  
9  3  0.0112507766306377  0.0021246902294097  
9  4  0.0002353435425144  0.0001913340570668  
10  1  0.0260060982924123  0.0033794716020904  
10  2  0.0442087160781511  0.0060927094274792  
10  3  0.0014546200073170  0.0004538463829861  
10  4  0.0001682506380402  0.0001895076289304  
11  1  0.0065091472052622  0.0015088015672175  
11  2  0.0099651075864555  0.0010786024315177  
11  3  0.0004265395115031  0.0002507176900781  
12  1  0.0233262883758280  0.0012763386380374  
