Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  5  5  1  0.0000000000000000  0.0831058260789572  0  
2  9  4  1  0.1158918050648984  0.1337244376029811  0  
3  13  4  1  0.1639308911759717  0.1458599605137660  0  
4  17  4  1  0.1882562172624950  0.3075116464254659  0  
5  21  4  1  0.1386378886364889  0.1982241291048829  0  
6  24  3  1  0.1437501235047371  0.1735663884012050  0  
7  27  3  1  0.1898482099195128  0.2914961648705123  0  
8  30  3  1  0.1986946244437552  0.3694215130008629  0  
9  34  4  1  0.3589465841329108  0.4490271475473608  0  
10  38  4  1  0.2836092425909397  0.4866250643089948  1  
11  41  3  1  0.4031608863394123  0.5497741095321026  0  
12  44  3  1  0.1080595107987380  0.5169834147970450  0  
13  47  3  1  0.1620264684364540  0.2859150533033756  0  
14  50  3  1  0.2455412801930811  0.5800444990482091  0  
15  53  3  1  0.1541793358715486  0.3897010247969083  0  
16  56  3  1  0.1170396902783145  0.2457191617281910  0  
17  59  3  1  0.0713859470976825  0.1306505737333602  0  
18  61  2  1  0.0233393350492075  0.1816517379282476  0  
19  63  2  1  0.6706907863266478  0.1093164102313243  0  
20  66  3  1  0.3051823226910751  0.1217093745850815  0  
21  69  3  1  0.0911350589324010  0.0923301937058376  0  
22  72  3  1  0.1064389934708804  0.1515244808163369  0  
23  75  3  1  0.2430484210580602  0.1276782545706687  0  
24  77  2  1  0.2384605267558233  0.0637134368457969  0  
25  80  3  1  0.2299500521033002  0.0967131495958114  0  
26  83  3  1  0.1749599070045129  0.1042715596155015  0  
27  85  2  1  0.1386583564283283  0.0871040169236603  0  
28  88  3  1  0.1006317949743159  0.0998776305561123  0  
29  91  3  1  0.1184880025054097  0.0836160326195811  0  
30  94  3  1  0.1406150781810651  0.1296889730326548  0  
31  97  3  1  0.1948506864390530  0.1329268144708602  0  
32  99  2  1  0.4005171523009651  0.0916606593115274  0  
33  100  1  1  1.0000000000000000  1.0000000000000000  0  
34  104  4  1  0.2434749020301121  0.4131623599562732  0  
35  108  4  1  0.2127897112377513  0.1402998065426644  0  
36  111  3  1  0.0797372416584519  0.1154771807751538  0  
37  114  3  1  0.2052949901682776  0.0804719667615097  0  
38  117  3  1  0.3235961510934861  0.2048973464207315  0  
