Timestep  Iteration  resNorm(0)  resNorm(1)  
1  1  1.0000000000000000  1.0000000000000000  
1  2  0.0006320206311771  0.8069990735021024  
1  3  0.0012652408761694  0.0010239212115715  
2  1  0.0031681126592356  0.9810065855037943  
2  2  0.0025385164162876  0.0020306449929068  
3  1  0.0057268090400715  0.4683984017407683  
3  2  0.0038264267479899  0.0031470035584419  
4  1  0.0083215729023245  0.0619644270867874  
5  1  0.0135001867044299  0.0136641357867520  
6  1  0.0193794543180405  0.0086890562416905  
7  1  0.0259791421905316  0.0022674732304508  
8  1  0.0333217638297163  0.0019118459237804  
9  1  0.0414327736852065  0.0016156955916282  
10  1  0.0503407913408553  0.0016361072004385  
11  1  0.0600778598300216  0.0015454005205534  
12  1  0.0706797425978428  0.0014047505330478  
13  1  0.0821862644797001  0.0013027877789328  
14  1  0.0946417030715895  0.0012400607038521  
15  1  0.1080952380755149  0.0011963655651510  
15  2  0.0130911397169604  0.0113709124809503  
16  1  0.0271869813183550  0.0164776825661130  
17  1  0.0423482671883356  0.0048843132715156  
18  1  0.0586424979605076  0.0013806885459054  
19  1  0.0761447594632731  0.0010618494787573  
20  1  0.0949386831099830  0.0010044239552157  
21  1  0.1151175647475696  0.0009692985874018  
21  2  0.0194312317335508  0.0157628606388525  
22  1  0.0403026714806529  0.0229834359499012  
23  1  0.0627318760604638  0.0065415705865945  
24  1  0.0868511569558890  0.0012909894453003  
25  1  0.1128098596232525  0.0009422713468660  
25  2  0.0251320797667116  0.0182590083067576  
26  1  0.0522417210583336  0.0267755076696033  
27  1  0.0815258107379311  0.0074550976602521  
28  1  0.1132097804041321  0.0012406244245088  
28  2  0.0308505126451446  0.0197252426332457  
29  1  0.0643587990649793  0.0290307731647009  
30  1  0.1008373535161192  0.0078609040652513  
30  2  0.0361668009456436  0.0205422716163219  
31  1  0.0757528071174066  0.0288330107967887  
32  1  0.1192186727218449  0.0080552001798297  
32  2  0.0427927630330372  0.0210908976115867  
33  1  0.0901310320892670  0.0297411133391450  
34  1  0.1427276844792696  0.0082363472097655  
34  2  0.0513916350871334  0.0213952840667554  
35  1  0.1090901146246114  0.0301817143331308  
35  2  0.0587722580877134  0.0215518788525543  
36  1  0.1256396183609896  0.0231139643156193  
36  2  0.0681332124677656  0.0216228406777886  
37  1  0.1470069552274565  0.0217782823029728  
37  2  0.0804669437298190  0.0216136878332371  
38  1  0.1758246344688096  0.0218825553525073  
38  2  0.0975594489549266  0.0215310820378979  
39  1  0.2170642947919990  0.0219280101078784  
39  2  0.1229822384024559  0.0213837978737826  
39  3  0.1410495376076263  0.0213516525758978  
39  4  0.1650682150734182  0.0212978449166652  
39  5  0.1986093779642298  0.0212231905098512  
39  6  0.2488151856523467  0.0211281588341868  
39  7  0.3323506041152732  0.0210134442252395  
39  8  0.4992104233241738  0.0208798938573038  
39  9  0.9993683785669560  0.0207285325068392  
39  10  inf  0.0205600712519395  
39  11  1.0000000000000000  0.0203753829451784  
39  12  0.4998420447576488  0.0201753591926622  
39  13  0.3329822255487188  0.0199608866789547  
39  14  0.2494468070857001  0.0197331942248261  
39  15  0.1992409993976237  0.0194928238063033  
39  16  0.1656998365068330  0.0192401803135292  
39  17  0.1416811590410108  0.0189770608150972  
39  18  0.1236138598358592  0.0187038811258616  
39  19  0.1095139657573115  0.0184212721512484  
39  20  0.0981910703883193  0.0181303945233771  
40  1  0.1783507212567537  0.5034342686238151  
40  2  0.0810985651632211  0.0174411718739307  
41  1  0.1495330420154226  0.1209841126689481  
41  2  0.0687648339011598  0.0170127868007941  
42  1  0.1281657051489321  0.0103052224647149  
42  2  0.0594038795211061  0.0164474523579098  
43  1  0.1116162014125874  0.0209532224455929  
43  2  0.0520232565205495  0.0158612052948741  
44  1  0.0983600098731072  0.0186435466331553  
45  1  0.1398600503339467  0.0074754663727319  
45  2  0.0434243844664550  0.0150904373790330  
46  1  0.0826790811711222  0.0219143953990114  
47  1  0.1183040655872653  0.0062242243254780  
47  2  0.0367984223790421  0.0143213099023196  
48  1  0.0704184145430224  0.0210592489260958  
49  1  0.1012220499515873  0.0059505954950132  
49  2  0.0314821340785651  0.0135420864181624  
50  1  0.0604672025275111  0.0199483810692558  
51  1  0.0872080102166952  0.0056980257236416  
52  1  0.1119233542447835  0.0009347198038225  
52  2  0.0257637012000840  0.0125365769776510  
53  1  0.0496480228951473  0.0194649131675316  
54  1  0.0718170432265681  0.0054376759726649  
55  1  0.0924151769392646  0.0009602340838252  
56  1  0.1115699667112879  0.0007826767227950  
56  2  0.0200628531669277  0.0112393212568832  
57  1  0.0387412938421950  0.0174884881516639  
58  1  0.0561359850100555  0.0050384550980180  
59  1  0.0723368084024895  0.0009257625697399  
60  1  0.0874241873290171  0.0007202432700568  
61  1  0.1014702141203277  0.0007052140178040  
61  2  0.0145453169034207  0.0094907290970119  
62  1  0.0280684761440425  0.0148170480388091  
63  1  0.0406277522795447  0.0043606838680191  
64  1  0.0522756212288755  0.0008657105213425  
65  1  0.0630593532653189  0.0006688553280577  
66  1  0.0730215274376350  0.0006430984222255  
67  1  0.0822004786248250  0.0006088563440648  
68  1  0.0906306865723665  0.0005950321931695  
69  1  0.0983431147350051  0.0005835745817081  
70  1  0.1053655054907607  0.0005683347036365  
70  2  0.0071058424357153  0.0057206441095797  
71  1  0.0134927086602782  0.0092128567001950  
72  1  0.0191823861831849  0.0027245688461786  
73  1  0.0241940040387217  0.0006231622291024  
