Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  3  3  1  0.1081577734078884  0.1007910988419651  0  
2  5  2  1  0.8951373522156809  0.0454968198099253  0  
3  7  2  1  0.8174107612992458  0.0819673538013806  0  
4  8  1  1  1.0000000000000000  1.0000000000000000  0  
5  9  1  1  1.0000000000000000  1.0000000000000000  0  
6  10  1  1  1.0000000000000000  1.0000000000000000  0  
7  11  1  1  1.0000000000000000  1.0000000000000000  0  
8  12  1  1  1.0000000000000000  1.0000000000000000  0  
9  13  1  1  1.0000000000000000  1.0000000000000000  0  
10  14  1  1  1.0000000000000000  1.0000000000000000  0  
11  15  1  1  1.0000000000000000  1.0000000000000000  0  
12  16  1  1  1.0000000000000000  1.0000000000000000  0  
13  17  1  1  1.0000000000000000  1.0000000000000000  0  
14  18  1  1  1.0000000000000000  1.0000000000000000  0  
15  20  2  1  0.3480049711695729  3.0829444984995069  0  
16  21  1  1  1.0000000000000000  1.0000000000000000  0  
17  22  1  1  1.0000000000000000  1.0000000000000000  0  
18  23  1  1  1.0000000000000000  1.0000000000000000  0  
19  24  1  1  1.0000000000000000  1.0000000000000000  0  
20  25  1  1  1.0000000000000000  1.0000000000000000  0  
21  27  2  1  0.4108462891493110  4.0326332629480799  0  
22  28  1  1  1.0000000000000000  1.0000000000000000  0  
23  29  1  1  1.0000000000000000  1.0000000000000000  0  
24  30  1  1  1.0000000000000000  1.0000000000000000  0  
25  32  2  1  0.4719985726711808  4.4020057000959474  0  
26  33  1  1  1.0000000000000000  1.0000000000000000  0  
27  34  1  1  1.0000000000000000  1.0000000000000000  0  
28  36  2  1  0.5220224956551096  3.9874111000998336  0  
29  37  1  1  1.0000000000000000  1.0000000000000000  0  
30  39  2  1  0.5988862311245787  1.6165456958073650  0  
31  40  1  1  1.0000000000000000  1.0000000000000000  0  
32  42  2  1  0.5991189041044033  1.6181149220238824  0  
33  43  1  1  1.0000000000000000  1.0000000000000000  0  
34  45  2  1  0.6000564491034660  1.6117278311467564  0  
35  47  2  1  0.7339956557361486  0.8450270600331202  0  
36  49  2  1  0.7364039831408468  0.9672063852026458  0  
37  51  2  1  0.7398434135622993  0.9962139658553406  0  
38  53  2  1  0.7448945687379074  0.9919365887101920  0  
39  73  20  1  0.9611123993442561  0.9905363134974090  0  
40  75  2  1  0.6743248279830778  0.1861300284264197  0  
41  77  2  1  0.6781325877114333  0.3749933429425844  0  
42  79  2  1  0.6808030436336507  1.2633411220345374  0  
43  81  2  1  0.6827082454055587  0.8700469348608078  0  
44  82  1  1  1.0000000000000000  1.0000000000000000  0  
45  84  2  1  0.5572114030420817  1.4207961369997810  0  
46  85  1  1  1.0000000000000000  1.0000000000000000  0  
47  87  2  1  0.5577181333928569  1.5168713653742198  0  
48  88  1  1  1.0000000000000000  1.0000000000000000  0  
49  90  2  1  0.5576921325748588  1.5085599576975768  0  
50  91  1  1  1.0000000000000000  1.0000000000000000  0  
51  92  1  1  1.0000000000000000  1.0000000000000000  0  
52  94  2  1  0.4797817987163262  3.6622565445535629  0  
53  95  1  1  1.0000000000000000  1.0000000000000000  0  
54  96  1  1  1.0000000000000000  1.0000000000000000  0  
55  97  1  1  1.0000000000000000  1.0000000000000000  0  
56  99  2  1  0.4240554953379814  3.7894731438010831  0  
57  100  1  1  1.0000000000000000  1.0000000000000000  0  
58  101  1  1  1.0000000000000000  1.0000000000000000  0  
59  102  1  1  1.0000000000000000  1.0000000000000000  0  
60  103  1  1  1.0000000000000000  1.0000000000000000  0  
61  105  2  1  0.3786101961083285  3.6685067319557305  0  
62  106  1  1  1.0000000000000000  1.0000000000000000  0  
63  107  1  1  1.0000000000000000  1.0000000000000000  0  
64  108  1  1  1.0000000000000000  1.0000000000000000  0  
65  109  1  1  1.0000000000000000  1.0000000000000000  0  
66  110  1  1  1.0000000000000000  1.0000000000000000  0  
67  111  1  1  1.0000000000000000  1.0000000000000000  0  
68  112  1  1  1.0000000000000000  1.0000000000000000  0  
69  113  1  1  1.0000000000000000  1.0000000000000000  0  
70  115  2  1  0.2596919928461783  3.1726369459073900  0  
71  116  1  1  1.0000000000000000  1.0000000000000000  0  
72  117  1  1  1.0000000000000000  1.0000000000000000  0  
73  118  1  1  1.0000000000000000  1.0000000000000000  0  
